0: NC_045512.2 Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1, complete genome
374: GQ153540.1 Bat SARS coronavirus HKU3-5, complete genome
375: GQ153546.1 Bat SARS coronavirus HKU3-11, complete genome
376: GQ153545.1 Bat SARS coronavirus HKU3-10, complete genome
377: GQ153544.1 Bat SARS coronavirus HKU3-9, complete genome
378: GQ153548.1 Bat SARS coronavirus HKU3-13, complete genome
379: GQ153547.1 Bat SARS coronavirus HKU3-12, complete genome
380: GQ153543.1 Bat SARS coronavirus HKU3-8, complete genome
381: GQ153542.1 Bat SARS coronavirus HKU3-7, complete genome
382: OK017808.1 Sarbecovirus sp. isolate FJ2021A, complete genome
383: OK017807.1 Sarbecovirus sp. isolate AH2021A, complete genome
384: KF294457.1 Bat SARS-like coronavirus isolate Longquan-140 orf1ab polyprotein, spike glycoprotein, envelope protein, membrane protein, and nucleocapsid protein genes, complete cds
385: OQ503496.1 Severe acute respiratory syndrome-related coronavirus isolate 141376, complete genome
386: OQ503495.1 Severe acute respiratory syndrome-related coronavirus isolate 141341, complete genome
387: OK017812.1 Sarbecovirus sp. isolate GD2016B, complete genome
388: OQ297703.1 MAG: Severe acute respiratory syndrome-related coronavirus isolate GD/L18.18/2020, complete genome
389: OQ297702.1 MAG: Severe acute respiratory syndrome-related coronavirus isolate GD/L17.18/2020, complete genome
390: OM240725.1 Bat betacoronavirus isolate RaCH025, complete genome
391: OQ297701.1 MAG: Severe acute respiratory syndrome-related coronavirus isolate GD/L19.18/2020, complete genome
392: OK017821.1 Sarbecovirus sp. isolate GD2017O, complete genome
393: OK017818.1 Sarbecovirus sp. isolate GD2017L, complete genome
394: OK017817.1 Sarbecovirus sp. isolate GD2017K, complete genome
395: OK017816.1 Sarbecovirus sp. isolate GD2017J, complete genome
396: OK017820.1 Sarbecovirus sp. isolate GD2017N, complete genome
397: OK017815.1 Sarbecovirus sp. isolate GD2017I, complete genome
398: OK017814.1 Sarbecovirus sp. isolate GD2017H, complete genome
399: MW681002.1 Severe acute respiratory syndrome-related coronavirus isolate Rs56, complete genome
400: OK017819.1 Sarbecovirus sp. isolate GD2017M, complete genome
401: OK017813.1 Sarbecovirus sp. isolate GD2017G, complete genome
402: OK017843.1 Sarbecovirus sp. isolate JX2021N, complete genome
403: OK017841.1 Sarbecovirus sp. isolate JX2021L, complete genome
404: OK017842.1 Sarbecovirus sp. isolate JX2021M, complete genome
405: OK017828.1 Sarbecovirus sp. isolate GD2019E, complete genome
406: OK017827.1 Sarbecovirus sp. isolate GD2019D, complete genome
407: OK017824.1 Sarbecovirus sp. isolate GD2017W, complete genome
408: OK017822.1 Sarbecovirus sp. isolate GD2017P, complete genome
409: OK017826.1 Sarbecovirus sp. isolate GD2019B, complete genome
410: OK017825.1 Sarbecovirus sp. isolate GD2019A, complete genome
411: OK017823.1 Sarbecovirus sp. isolate GD2017Q, complete genome
412: KJ473815.1 BtRs-BetaCoV/GX2013, complete genome
413: KP886809.1 Bat SARS-like coronavirus YNLF_34C, complete genome
414: KP886808.1 Bat SARS-like coronavirus YNLF_31C, complete genome
415: KU973692.1 UNVERIFIED: Severe acute respiratory syndrome-related coronavirus isolate F46, complete genome
416: OP963575.1 Bat SARS-like virus BtSY1 ORF1ab polyprotein (ORF1ab), ORF1a protein (ORF1ab), spike glycoprotein, ORF3a protein, ORF3b protein, envelope protein, membrane glycoprotein M, ORF6 protein, ORF7a protein, ORF7b protein, ORF8 protein, nucleocapsid
417: OQ503506.1 Severe acute respiratory syndrome-related coronavirus isolate B228, complete genome
418: MZ081377.1 Betacoronavirus sp. RmYN07 strain bat/Yunnan/RmYN07/2020, complete genome
419: MZ081379.1 Betacoronavirus sp. RsYN03 strain bat/Yunnan/RsYN03/2019, complete genome
420: JX993988.1 Bat coronavirus Cp/Yunnan2011, complete genome
421: MZ081382.1 Betacoronavirus sp. RsYN09 strain bat/Yunnan/RsYN09/2020, complete genome
422: KF569996.1 Rhinolophus affinis coronavirus isolate LYRa11, complete genome
423: MK211374.1 Coronavirus BtRl-BetaCoV/SC2018, complete genome
424: OQ503497.1 Severe acute respiratory syndrome-related coronavirus isolate 151491, complete genome
425: OK017835.1 Sarbecovirus sp. isolate HN2021F, complete genome
426: OK017834.1 Sarbecovirus sp. isolate HN2021E, complete genome
427: MZ328294.1 Jingmen Rhinolophus sinicus betacoronavirus 1, complete genome
428: KJ473814.1 BtRs-BetaCoV/HuB2013, complete genome
429: OQ297705.1 MAG: Severe acute respiratory syndrome-related coronavirus isolate CQ/L80.18/2021, complete genome
430: OQ297704.1 MAG: Severe acute respiratory syndrome-related coronavirus isolate SC/L75.18/2021, complete genome
431: DQ412043.1 Bat SARS coronavirus Rm1, complete genome
432: DQ648857.1 Bat coronavirus (BtCoV/279/2005), complete genome
433: OK017860.1 Sarbecovirus sp. isolate JX2021D, complete genome
434: OK017833.1 Sarbecovirus sp. isolate HN2021D, complete genome
435: OK017832.1 Sarbecovirus sp. isolate HN2021C, complete genome
436: OK017859.1 Sarbecovirus sp. isolate GX2019A, complete genome
437: OK017846.1 Sarbecovirus sp. isolate SC2018B, complete genome
438: JX993987.1 Bat coronavirus Rp/Shaanxi2011, complete genome
439: ON378802.1 MAG: Severe acute respiratory syndrome-related coronavirus isolate BatCoV_B20-50, complete genome
440: KY938558.1 Sarbecovirus sp. strain 16BO133, complete genome
441: OK017800.1 Sarbecovirus sp. isolate LN2020H, complete genome
442: OK017798.1 Sarbecovirus sp. isolate LN2020F, complete genome
443: OK017796.1 Sarbecovirus sp. isolate LN2020C, complete genome
444: OK017795.1 Sarbecovirus sp. isolate LN2020B, complete genome
445: OK017797.1 Sarbecovirus sp. isolate LN2020E, complete genome
446: OK017799.1 Sarbecovirus sp. isolate LN2020G, complete genome
447: OK017794.1 Sarbecovirus sp. isolate LN2020A, complete genome
448: KU182964.1 Sarbecovirus sp. isolate JTMC15, complete genome
449: KJ473811.1 BtRf-BetaCoV/JL2012, complete genome
450: KY770860.1 Sarbecovirus sp. isolate Jiyuan-84, complete genome
451: KJ473813.1 BtRf-BetaCoV/SX2013, complete genome
452: KJ473812.1 BtRf-BetaCoV/HeB2013, complete genome
453: DQ412042.1 Bat SARS coronavirus Rf1, complete genome
454: DQ648856.1 Bat coronavirus (BtCoV/273/2005), complete genome
455: OR233328.1 Horseshoe bat sarbecovirus isolate Ra22QT137 surface glycoprotein gene, complete cds
456: OR233322.1 Horseshoe bat sarbecovirus isolate Ra22QT106 surface glycoprotein gene, complete cds
457: OR233323.1 Horseshoe bat sarbecovirus isolate Ra22QT135 surface glycoprotein gene, complete cds
458: OR233324.1 Horseshoe bat sarbecovirus isolate Ra22QT77 surface glycoprotein gene, complete cds
459: OR233295.1 Horseshoe bat sarbecovirus isolate Rt17DN420 surface glycoprotein gene, complete cds
460: MZ937003.2 Bat coronavirus isolate BANAL-20-236/Laos/2020, complete genome
461: MZ937001.1 Bat coronavirus isolate BANAL-20-103/Laos/2020, complete genome
462: MZ937000.1 Bat coronavirus isolate BANAL-20-52/Laos/2020, complete genome
463: MN996532.2 Bat coronavirus RaTG13, complete genome
464: MZ081381.1 Betacoronavirus sp. RpYN06 strain bat/Yunnan/RpYN06/2020, complete genome
465: MZ937004.1 Bat coronavirus isolate BANAL-20-247/Laos/2020, complete genome
466: MZ937002.1 Bat coronavirus isolate BANAL-20-116/Laos/2020, complete genome
467: MW251312.1 Bat coronavirus RacCS271, partial genome
468: MW251311.1 Bat coronavirus RacCS264, partial genome
469: MW251310.1 Bat coronavirus RacCS253, partial genome
470: MW251308.1 Bat coronavirus RacCS203, complete genome
471: MW251309.1 Bat coronavirus RacCS224, partial genome
472: OR233327.1 Horseshoe bat sarbecovirus isolate Rp22DB167 surface glycoprotein gene, complete cds
473: MW703458.1 Sarbecovirus sp. isolate PrC31, complete genome
474: OK017806.1 Sarbecovirus sp. isolate YN2021, complete genome
475: OK287355.1 Sarbecovirus sp. isolate BetaCoV_Yunnan_Rp_JCC9_2020, complete genome
476: OR233302.1 Horseshoe bat sarbecovirus isolate Rp22DB159 surface glycoprotein gene, complete cds
477: OP963576.1 Bat SARS-like virus BtSY2 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein, ORF3a protein, ORF3b protein, envelope protein, membrane protein M, ORF6 protein, ORF7a protein, ORF7b protein, ORF8 protein, nucleocapsid
478: OQ297732.1 MAG: Severe acute respiratory syndrome-related coronavirus isolate GD/L105.18/2022, partial genome
479: OQ297706.1 MAG: Severe acute respiratory syndrome-related coronavirus isolate GD/L102.18/2022, partial genome
480: OK017804.1 Sarbecovirus sp. isolate HN2021B, complete genome
481: OK017803.1 Sarbecovirus sp. isolate HN2021A, complete genome
482: OK017805.1 Sarbecovirus sp. isolate HN2021G, complete genome
483: MG772934.1 Bat SARS-like coronavirus isolate bat-SL-CoVZXC21, complete genome
484: MG772933.1 Bat SARS-like coronavirus isolate bat-SL-CoVZC45, complete genome
485: OQ297708.1 MAG: Pangolin coronavirus isolate GD/P79-9/2019, complete genome
486: OQ297700.1 MAG: Pangolin coronavirus isolate GD/M5-9/2019, partial genome
487: OQ297707.1 MAG: Pangolin coronavirus isolate GD/P44-9/2019, partial genome
488: MT121216.1 Pangolin coronavirus isolate MP789, complete genome
489: MT084071.1 Pangolin coronavirus isolate MP789 genomic sequence
490: MW532698.1 Pangolin coronavirus isolate GX_P2V, complete genome
491: MT072864.1 Pangolin coronavirus isolate PCoV_GX-P2V, complete genome
492: MT040336.1 Pangolin coronavirus isolate PCoV_GX-P5E, complete genome
493: MT040335.1 Pangolin coronavirus isolate PCoV_GX-P5L, complete genome
494: MT040334.1 Pangolin coronavirus isolate PCoV_GX-P1E, complete genome
495: MT040333.1 Pangolin coronavirus isolate PCoV_GX-P4L, complete genome
496: MT072865.1 Pangolin coronavirus isolate PCoV_GX-P3B genomic sequence
497: LC663959.1 Sarbecovirus sp. Rc-mk2 RNA, complete geneome
498: LC663958.1 Sarbecovirus sp. Rc-os20 RNA, complete geneome
499: LC663793.1 Sarbecovirus sp. Rc-kw8 RNA, complete genome
500: LC556375.1 Severe acute respiratory syndrome-related coronavirus Rc-o319 RNA, complete genome
501: OQ401252.2 MAG: Sarbecovirus sp. RhGB08 isolate Sample-18, partial genome
502: OQ401249.1 MAG: Sarbecovirus RfGB02, complete genome
503: OQ401247.1 MAG: Sarbecovirus RfGB01, complete genome
504: OP776340.1 Sarbecovirus sp. isolate RhGB06, complete genome
505: OP776339.1 Sarbecovirus sp. isolate RhGB05, complete genome
506: OP837780.1 UNVERIFIED: Sarbecovirus sp. isolate RhGB03, partial genome
507: OQ401248.1 MAG: Sarbecovirus sp. RhGB07 isolate 2-30B, complete genome
508: OP776338.1 Sarbecovirus sp. isolate RhGB02, complete genome
509: MW719567.1 Sarbecovirus RhGB01, complete genome
510: MZ190138.1 Bat SARS-like coronavirus Khosta-2 strain BtCoV/Khosta-2/Rh/Russia/2020, complete genome
511: MT726045.1 Sarbecovirus sp. isolate PREDICT/PRD-0038/AABSMF, complete genome
512: MT726044.1 Bat coronavirus isolate PREDICT/PDF-2370/OTBA35RSV, complete genome
513: MT726043.1 Sarbecovirus sp. isolate PREDICT/PDF-2386/OTBA40RSV, complete genome
514: KY352407.1 Severe acute respiratory syndrome-related coronavirus strain BtKY72, complete genome
515: NC_014470.1 Bat coronavirus BM48-31/BGR/2008, complete genome
516: GU190215.1 Bat coronavirus BM48-31/BGR/2008, complete genome
517: MZ190137.1 Bat SARS-like coronavirus Khosta-1 strain BtCoV/Khosta-1/Rh/Russia/2020, complete genome
518: OL674081.1 Severe acute respiratory syndrome-related coronavirus isolate Rs7952, complete genome
519: OL674080.1 Severe acute respiratory syndrome-related coronavirus isolate Rs7931, complete genome
520: OL674074.1 Severe acute respiratory syndrome-related coronavirus isolate Rs7896, complete genome
521: OL674075.1 Severe acute respiratory syndrome-related coronavirus isolate Rs7905, complete genome
522: OL674079.1 Severe acute respiratory syndrome-related coronavirus isolate Rs7924, complete genome
523: OL674077.1 Severe acute respiratory syndrome-related coronavirus isolate Ra7909, complete genome
524: OL674076.1 Severe acute respiratory syndrome-related coronavirus isolate Rs7907, complete genome
525: OL674078.1 Severe acute respiratory syndrome-related coronavirus isolate Rs7921, complete genome
526: MZ081380.1 Betacoronavirus sp. RsYN04 strain bat/Yunnan/RsYN04/2020, complete genome
527: MZ081378.1 Betacoronavirus sp. RmYN08 strain bat/Yunnan/RmYN08/2020, complete genome
528: MZ081376.1 Betacoronavirus sp. RmYN05 strain bat/Yunnan/RmYN05/2020, complete genome
